Time,Power_kW
2016/1/1 0:00,829.22
2016/1/1 1:00,635.59
2016/1/1 2:00,483.54
2016/1/1 3:00,406.44500000000005
2016/1/1 4:00,390.38
2016/1/1 5:00,398.06
2016/1/1 6:00,417.175
2016/1/1 7:00,423.345
2016/1/1 8:00,636.0899999999999
2016/1/1 9:00,704.965
2016/1/1 10:00,643.655
2016/1/1 11:00,598.2625
2016/1/1 12:00,633.8083333333334
2016/1/1 13:00,609.04
2016/1/1 14:00,556.75
2016/1/1 15:00,563.88
2016/1/1 16:00,631.92
2016/1/1 17:00,596.26
2016/1/1 18:00,668
2016/1/1 19:00,772.1949999999999
2016/1/1 20:00,841.5
2016/1/1 21:00,870.58
2016/1/1 22:00,897.65
2016/1/1 23:00,909.345
2016/1/2 0:00,796.24
2016/1/2 1:00,630.21
2016/1/2 2:00,489.51
2016/1/2 3:00,416.68
2016/1/2 4:00,394.04
2016/1/2 5:00,398.33
2016/1/2 6:00,398.5
2016/1/2 7:00,408.16
2016/1/2 8:00,503.21
2016/1/2 9:00,627.33
2016/1/2 10:00,619.525
2016/1/2 11:00,601.245
2016/1/2 12:00,638.18
2016/1/2 13:00,623.56
2016/1/2 14:00,579.23
2016/1/2 15:00,587.56
2016/1/2 16:00,635.92
2016/1/2 17:00,617.785
2016/1/2 18:00,699
2016/1/2 19:00,770.25
2016/1/2 20:00,785.2
2016/1/2 21:00,816.35
2016/1/2 22:00,859.7
2016/1/2 23:00,874.7
2016/1/3 0:00,739.88
2016/1/3 1:00,591.6
2016/1/3 2:00,470.96000000000004
2016/1/3 3:00,396.92999999999995
2016/1/3 4:00,384.755
2016/1/3 5:00,383.09
2016/1/3 6:00,389.3
2016/1/3 7:00,386.36
2016/1/3 8:00,483.46
2016/1/3 9:00,599.54
2016/1/3 10:00,601.44
2016/1/3 11:00,611.3
2016/1/3 12:00,658.395
2016/1/3 13:00,649.775
2016/1/3 14:00,591.655
2016/1/3 15:00,606.27
2016/1/3 16:00,665.78
2016/1/3 17:00,660.27
2016/1/3 18:00,752.2
2016/1/3 19:00,813.3050000000001
2016/1/3 20:00,864.355
2016/1/3 21:00,901.23
2016/1/3 22:00,927.6800000000001
2016/1/3 23:00,925.13
2016/1/4 0:00,755.05
2016/1/4 1:00,581.5
2016/1/4 2:00,458.63
2016/1/4 3:00,392.07500000000005
2016/1/4 4:00,371.305
2016/1/4 5:00,377.205
2016/1/4 6:00,378.47
2016/1/4 7:00,398.83500000000004
2016/1/4 8:00,607.59
2016/1/4 9:00,675.35
2016/1/4 10:00,616.86
2016/1/4 11:00,591.02
2016/1/4 12:00,642.19
2016/1/4 13:00,610.64
2016/1/4 14:00,535
2016/1/4 15:00,567.22
2016/1/4 16:00,626.55
2016/1/4 17:00,620.1
2016/1/4 18:00,690.8
2016/1/4 19:00,813.74
2016/1/4 20:00,878.9
2016/1/4 21:00,916.7950000000001
2016/1/4 22:00,960.7750000000001
2016/1/4 23:00,998.825
2016/1/5 0:00,827.9649999999999
2016/1/5 1:00,607.7
2016/1/5 2:00,465.63
2016/1/5 3:00,403.125
2016/1/5 4:00,373.96000000000004
2016/1/5 5:00,381.655
2016/1/5 6:00,387.885
2016/1/5 7:00,420.64
2016/1/5 8:00,628.33
2016/1/5 9:00,673.5
2016/1/5 10:00,628.06
2016/1/5 11:00,601.2850000000001
2016/1/5 12:00,631.5699999999999
2016/1/5 13:00,601.955
2016/1/5 14:00,536.33
2016/1/5 15:00,555.87
2016/1/5 16:00,626.37
