Time,Power_kW
2016-01-01 00:00:00,134.4
2016-01-01 00:30:00,129.6
2016-01-01 01:00:00,127.31
2016-01-01 01:30:00,119.6
2016-01-01 02:00:00,117.325
2016-01-01 02:30:00,116.2
2016-01-01 03:00:00,117.6
2016-01-01 03:30:00,120.0
2016-01-01 04:00:00,115.0
2016-01-01 04:30:00,114.94999999999999
2016-01-01 05:00:00,115.6
2016-01-01 05:30:00,114.775
2016-01-01 06:00:00,119.2
2016-01-01 06:30:00,126.2
2016-01-01 07:00:00,133.16250000000002
2016-01-01 07:30:00,166.6
2016-01-01 08:00:00,225.0
2016-01-01 08:30:00,283.4
2016-01-01 09:00:00,354.4
2016-01-01 09:30:00,353.6
2016-01-01 10:00:00,348.4
2016-01-01 10:30:00,350.8
2016-01-01 11:00:00,354.0
2016-01-01 11:30:00,378.0
2016-01-01 12:00:00,356.8
2016-01-01 12:30:00,345.6
2016-01-01 13:00:00,352.8
2016-01-01 13:30:00,360.4
2016-01-01 14:00:00,356.4
2016-01-01 14:30:00,338.2
2016-01-01 15:00:00,339.20000000000005
2016-01-01 15:30:00,333.4
2016-01-01 16:00:00,333.2
2016-01-01 16:30:00,348.4
2016-01-01 17:00:00,328.8
2016-01-01 17:30:00,290.8
2016-01-01 18:00:00,283.2
2016-01-01 18:30:00,293.2
2016-01-01 19:00:00,281.6
2016-01-01 19:30:00,273.79999999999995
2016-01-01 20:00:00,279.8
2016-01-01 20:30:00,273.8
2016-01-01 21:00:00,240.2
2016-01-01 21:30:00,211.8
2016-01-01 22:00:00,174.4
2016-01-01 22:30:00,157.6
2016-01-01 23:00:00,139.0
2016-01-01 23:30:00,137.675
2016-01-02 00:00:00,126.8
2016-01-02 00:30:00,122.4
2016-01-02 01:00:00,122.0
2016-01-02 01:30:00,118.4
2016-01-02 02:00:00,118.0
2016-01-02 02:30:00,116.8
2016-01-02 03:00:00,116.0
2016-01-02 03:30:00,112.8
2016-01-02 04:00:00,109.2
2016-01-02 04:30:00,109.6
2016-01-02 05:00:00,109.8
2016-01-02 05:30:00,106.36
2016-01-02 06:00:00,111.0
2016-01-02 06:30:00,109.8
2016-01-02 07:00:00,114.6
2016-01-02 07:30:00,129.39999999999998
2016-01-02 08:00:00,177.2
2016-01-02 08:30:00,213.6
2016-01-02 09:00:00,288.4
2016-01-02 09:30:00,308.0
2016-01-02 10:00:00,315.6
2016-01-02 10:30:00,312.8
2016-01-02 11:00:00,341.6
2016-01-02 11:30:00,338.4
2016-01-02 12:00:00,336.4
2016-01-02 12:30:00,333.2
2016-01-02 13:00:00,324.8
2016-01-02 13:30:00,337.6
2016-01-02 14:00:00,317.6
2016-01-02 14:30:00,304.2
2016-01-02 15:00:00,315.4
2016-01-02 15:30:00,312.8
2016-01-02 16:00:00,312.4
2016-01-02 16:30:00,306.0
2016-01-02 17:00:00,274.0
2016-01-02 17:30:00,237.6
2016-01-02 18:00:00,231.2
2016-01-02 18:30:00,245.2
2016-01-02 19:00:00,254.8
2016-01-02 19:30:00,249.2
2016-01-02 20:00:00,252.2
2016-01-02 20:30:00,248.8
2016-01-02 21:00:00,213.2
2016-01-02 21:30:00,199.60000000000002
2016-01-02 22:00:00,158.0
2016-01-02 22:30:00,150.4
2016-01-02 23:00:00,137.8
2016-01-02 23:30:00,130.8
2016-01-03 00:00:00,124.80000000000001
2016-01-03 00:30:00,121.4
2016-01-03 01:00:00,120.8
2016-01-03 01:30:00,122.8
2016-01-03 02:00:00,115.2
2016-01-03 02:30:00,118.2
2016-01-03 03:00:00,115.80000000000001
2016-01-03 03:30:00,116.0
2016-01-03 04:00:00,110.4
2016-01-03 04:30:00,106.4
2016-01-03 05:00:00,110.4
2016-01-03 05:30:00,106.0
2016-01-03 06:00:00,106.80000000000001
2016-01-03 06:30:00,104.4
2016-01-03 07:00:00,112.1
2016-01-03 07:30:00,128.8
2016-01-03 08:00:00,174.0
2016-01-03 08:30:00,223.6
2016-01-03 09:00:00,297.2
2016-01-03 09:30:00,310.8
2016-01-03 10:00:00,310.4
2016-01-03 10:30:00,315.4
2016-01-03 11:00:00,324.0
2016-01-03 11:30:00,345.6
2016-01-03 12:00:00,338.8
2016-01-03 12:30:00,312.8
2016-01-03 13:00:00,330.79999999999995
2016-01-03 13:30:00,319.6
2016-01-03 14:00:00,303.4
2016-01-03 14:30:00,297.2
2016-01-03 15:00:00,297.6
2016-01-03 15:30:00,292.2
2016-01-03 16:00:00,306.20000000000005
2016-01-03 16:30:00,294.0
2016-01-03 17:00:00,296.0
2016-01-03 17:30:00,269.79999999999995
2016-01-03 18:00:00,274.4
2016-01-03 18:30:00,272.0
2016-01-03 19:00:00,285.6
2016-01-03 19:30:00,291.0
2016-01-03 20:00:00,278.4
2016-01-03 20:30:00,269.8
2016-01-03 21:00:00,207.60000000000002
2016-01-03 21:30:00,192.0
2016-01-03 22:00:00,151.6
2016-01-03 22:30:00,142.2
2016-01-03 23:00:00,137.6
2016-01-03 23:30:00,129.0
2016-01-04 00:00:00,122.4
2016-01-04 00:30:00,119.80000000000001
2016-01-04 01:00:00,116.6
2016-01-04 01:30:00,121.19999999999999
2016-01-04 02:00:00,115.80000000000001
2016-01-04 02:30:00,118.4
2016-01-04 03:00:00,118.0
2016-01-04 03:30:00,115.6
2016-01-04 04:00:00,114.0
2016-01-04 04:30:00,110.8
2016-01-04 05:00:00,107.65
2016-01-04 05:30:00,108.0
2016-01-04 06:00:00,110.0
2016-01-04 06:30:00,117.2
2016-01-04 07:00:00,125.6
2016-01-04 07:30:00,145.2
2016-01-04 08:00:00,191.6
2016-01-04 08:30:00,240.8
2016-01-04 09:00:00,304.8
2016-01-04 09:30:00,323.8
2016-01-04 10:00:00,336.4
2016-01-04 10:30:00,327.6
2016-01-04 11:00:00,352.4
2016-01-04 11:30:00,354.0
2016-01-04 12:00:00,348.8
2016-01-04 12:30:00,341.0
2016-01-04 13:00:00,353.4
2016-01-04 13:30:00,336.0
2016-01-04 14:00:00,338.8
2016-01-04 14:30:00,338.8
2016-01-04 15:00:00,327.3
2016-01-04 15:30:00,331.8
2016-01-04 16:00:00,322.20000000000005
2016-01-04 16:30:00,333.6
2016-01-04 17:00:00,319.6
2016-01-04 17:30:00,314.79999999999995
2016-01-04 18:00:00,311.79999999999995
2016-01-04 18:30:00,291.4
2016-01-04 19:00:00,304.8
2016-01-04 19:30:00,302.0
2016-01-04 20:00:00,301.6
2016-01-04 20:30:00,274.0
2016-01-04 21:00:00,223.39999999999998
2016-01-04 21:30:00,200.0
2016-01-04 22:00:00,157.2
2016-01-04 22:30:00,146.2
2016-01-04 23:00:00,138.8
2016-01-04 23:30:00,137.4
2016-01-05 00:00:00,127.2
2016-01-05 00:30:00,123.4
2016-01-05 01:00:00,120.80000000000001
2016-01-05 01:30:00,116.4
2016-01-05 02:00:00,119.4
2016-01-05 02:30:00,117.4
2016-01-05 03:00:00,120.2
2016-01-05 03:30:00,116.8
2016-01-05 04:00:00,115.6
2016-01-05 04:30:00,111.4
2016-01-05 05:00:00,106.80000000000001
2016-01-05 05:30:00,107.4
2016-01-05 06:00:00,111.4
2016-01-05 06:30:00,120.6
2016-01-05 07:00:00,132.0
2016-01-05 07:30:00,154.8
2016-01-05 08:00:00,213.60000000000002
2016-01-05 08:30:00,257.79999999999995
2016-01-05 09:00:00,352.0
2016-01-05 09:30:00,367.2
2016-01-05 10:00:00,376.0
2016-01-05 10:30:00,370.4
2016-01-05 11:00:00,373.6
2016-01-05 11:30:00,360.8
2016-01-05 12:00:00,365.0
2016-01-05 12:30:00,384.4
2016-01-05 13:00:00,374.4
2016-01-05 13:30:00,368.4
2016-01-05 14:00:00,359.4
2016-01-05 14:30:00,355.0
2016-01-05 15:00:00,363.0
2016-01-05 15:30:00,361.4
2016-01-05 16:00:00,353.6
2016-01-05 16:30:00,369.2
2016-01-05 17:00:00,379.6
2016-01-05 17:30:00,346.8
2016-01-05 18:00:00,348.4
2016-01-05 18:30:00,352.8
2016-01-05 19:00:00,338.8
2016-01-05 19:30:00,334.8
2016-01-05 20:00:00,316.4
2016-01-05 20:30:00,308.8
2016-01-05 21:00:00,238.8
2016-01-05 21:30:00,217.4
2016-01-05 22:00:00,167.2
2016-01-05 22:30:00,153.6
2016-01-05 23:00:00,145.0
2016-01-05 23:30:00,140.60000000000002
2016-01-06 00:00:00,129.8
2016-01-06 00:30:00,126.4
2016-01-06 01:00:00,121.2
2016-01-06 01:30:00,114.0
2016-01-06 02:00:00,118.4
2016-01-06 02:30:00,117.6
