Time,Power_kW
2016-01-01 00:00:00,834.58125
2016-01-01 00:30:00,735.0999999999999
2016-01-01 01:00:00,631.82
2016-01-01 01:30:00,568.51
2016-01-01 02:00:00,480.65
2016-01-01 02:30:00,432.62
2016-01-01 03:00:00,404.135
2016-01-01 03:30:00,394.97
2016-01-01 04:00:00,391.015
2016-01-01 04:30:00,399.395
2016-01-01 05:00:00,399.66499999999996
2016-01-01 05:30:00,413.37
2016-01-01 06:00:00,417.175
2016-01-01 06:30:00,399.26
2016-01-01 07:00:00,423.345
2016-01-01 07:30:00,514.905
2016-01-01 08:00:00,637.665
2016-01-01 08:30:00,687.375
2016-01-01 09:00:00,705.165
2016-01-01 09:30:00,654.89
2016-01-01 10:00:00,642.02
2016-01-01 10:30:00,613.91
2016-01-01 11:00:00,594.3199999999999
2016-01-01 11:30:00,602.55
2016-01-01 12:00:00,638.86
2016-01-01 12:30:00,666.11
2016-01-01 13:00:00,609.04
2016-01-01 13:30:00,581.35
2016-01-01 14:00:00,556.75
2016-01-01 14:30:00,549.9
2016-01-01 15:00:00,557.82
2016-01-01 15:30:00,594.94
2016-01-01 16:00:00,632.855
2016-01-01 16:30:00,604.03
2016-01-01 17:00:00,595.22
2016-01-01 17:30:00,629.36
2016-01-01 18:00:00,668.39
2016-01-01 18:30:00,737.87
2016-01-01 19:00:00,772.1949999999999
2016-01-01 19:30:00,822.1949999999999
2016-01-01 20:00:00,844.02
2016-01-01 20:30:00,854.2149999999999
2016-01-01 21:00:00,866.97
2016-01-01 21:30:00,881.24
2016-01-01 22:00:00,897.65
2016-01-01 22:30:00,920.035
2016-01-01 23:00:00,909.345
2016-01-01 23:30:00,866.0550000000001
2016-01-02 00:00:00,796.24
2016-01-02 00:30:00,710.24
2016-01-02 01:00:00,630.21
2016-01-02 01:30:00,555.76
2016-01-02 02:00:00,489.51
2016-01-02 02:30:00,445.73
2016-01-02 03:00:00,416.68
2016-01-02 03:30:00,401.99
2016-01-02 04:00:00,394.04
2016-01-02 04:30:00,389.75
2016-01-02 05:00:00,398.33
2016-01-02 05:30:00,398.42
2016-01-02 06:00:00,398.5
2016-01-02 06:30:00,385.05
2016-01-02 07:00:00,408.16
2016-01-02 07:30:00,447.84
2016-01-02 08:00:00,503.21
2016-01-02 08:30:00,584.87
2016-01-02 09:00:00,627.33
2016-01-02 09:30:00,611.3050000000001
2016-01-02 10:00:00,619.93
2016-01-02 10:30:00,616.02
2016-01-02 11:00:00,602.08
2016-01-02 11:30:00,612.81
2016-01-02 12:00:00,638.2230434782609
2016-01-02 12:30:00,651.59
2016-01-02 13:00:00,623.56
2016-01-02 13:30:00,589.41
2016-01-02 14:00:00,566.94
2016-01-02 14:30:00,575.74
2016-01-02 15:00:00,585.3
2016-01-02 15:30:00,606.69
2016-01-02 16:00:00,635.92
2016-01-02 16:30:00,608.425
2016-01-02 17:00:00,617.785
2016-01-02 17:30:00,649.64
2016-01-02 18:00:00,699.0
2016-01-02 18:30:00,734.66
2016-01-02 19:00:00,772.2
2016-01-02 19:30:00,779.125
2016-01-02 20:00:00,785.2
2016-01-02 20:30:00,824.19
2016-01-02 21:00:00,816.98
2016-01-02 21:30:00,845.13
2016-01-02 22:00:00,866.47
2016-01-02 22:30:00,875.47
2016-01-02 23:00:00,874.7
2016-01-02 23:30:00,820.73
2016-01-03 00:00:00,740.575
2016-01-03 00:30:00,661.755
2016-01-03 01:00:00,589.58
2016-01-03 01:30:00,522.97
2016-01-03 02:00:00,470.155
2016-01-03 02:30:00,433.925
2016-01-03 03:00:00,393.255
2016-01-03 03:30:00,390.01
2016-01-03 04:00:00,384.755
2016-01-03 04:30:00,379.76
2016-01-03 05:00:00,383.09
2016-01-03 05:30:00,383.81
2016-01-03 06:00:00,388.495
2016-01-03 06:30:00,372.91499999999996
2016-01-03 07:00:00,385.46500000000003
2016-01-03 07:30:00,407.72
2016-01-03 08:00:00,483.46
2016-01-03 08:30:00,547.89
2016-01-03 09:00:00,599.54
2016-01-03 09:30:00,595.78
2016-01-03 10:00:00,601.44
2016-01-03 10:30:00,607.095
2016-01-03 11:00:00,612.21
2016-01-03 11:30:00,639.97
2016-01-03 12:00:00,658.395
2016-01-03 12:30:00,690.88
2016-01-03 13:00:00,654.41
2016-01-03 13:30:00,616.46
2016-01-03 14:00:00,590.73
2016-01-03 14:30:00,590.83
2016-01-03 15:00:00,606.27
2016-01-03 15:30:00,629.62
2016-01-03 16:00:00,665.78
2016-01-03 16:30:00,641.9
2016-01-03 17:00:00,660.27
2016-01-03 17:30:00,693.07
2016-01-03 18:00:00,752.2
2016-01-03 18:30:00,776.9200000000001
2016-01-03 19:00:00,813.3050000000001
2016-01-03 19:30:00,843.5799999999999
2016-01-03 20:00:00,864.355
2016-01-03 20:30:00,884.48
2016-01-03 21:00:00,901.23
2016-01-03 21:30:00,916.77
2016-01-03 22:00:00,930.7433333333333
2016-01-03 22:30:00,944.4366666666667
2016-01-03 23:00:00,925.065
2016-01-03 23:30:00,851.66
2016-01-04 00:00:00,756.41
2016-01-04 00:30:00,647.61
2016-01-04 01:00:00,571.53
2016-01-04 01:30:00,497.07
2016-01-04 02:00:00,446.225
2016-01-04 02:30:00,410.485
2016-01-04 03:00:00,390.82500000000005
2016-01-04 03:30:00,363.865
2016-01-04 04:00:00,362.48
2016-01-04 04:30:00,365.6
2016-01-04 05:00:00,377.205
2016-01-04 05:30:00,387.83500000000004
2016-01-04 06:00:00,378.47
2016-01-04 06:30:00,367.075
2016-01-04 07:00:00,396.91999999999996
2016-01-04 07:30:00,487.63
2016-01-04 08:00:00,607.59
2016-01-04 08:30:00,660.895
2016-01-04 09:00:00,675.48
2016-01-04 09:30:00,650.325
2016-01-04 10:00:00,619.05
2016-01-04 10:30:00,587.99
2016-01-04 11:00:00,591.0899999999999
2016-01-04 11:30:00,606.935
2016-01-04 12:00:00,642.19
2016-01-04 12:30:00,651.43
2016-01-04 13:00:00,610.64
2016-01-04 13:30:00,562.72
2016-01-04 14:00:00,535.0
2016-01-04 14:30:00,543.77
2016-01-04 15:00:00,567.0450000000001
2016-01-04 15:30:00,591.355
2016-01-04 16:00:00,626.55
2016-01-04 16:30:00,603.39
2016-01-04 17:00:00,620.1
2016-01-04 17:30:00,643.625
2016-01-04 18:00:00,689.005
2016-01-04 18:30:00,759.36
2016-01-04 19:00:00,813.74
2016-01-04 19:30:00,854.505
2016-01-04 20:00:00,878.105
2016-01-04 20:30:00,896.7950000000001
2016-01-04 21:00:00,913.1
2016-01-04 21:30:00,932.99
2016-01-04 22:00:00,960.33
2016-01-04 22:30:00,999.865
2016-01-04 23:00:00,997.4549999999999
2016-01-04 23:30:00,927.505
2016-01-05 00:00:00,827.9649999999999
2016-01-05 00:30:00,698.04
2016-01-05 01:00:00,606.005
2016-01-05 01:30:00,530.37
2016-01-05 02:00:00,462.82
2016-01-05 02:30:00,414.44
2016-01-05 03:00:00,394.46
2016-01-05 03:30:00,379.12
2016-01-05 04:00:00,373.36
2016-01-05 04:30:00,374.92
2016-01-05 05:00:00,381.8
2016-01-05 05:30:00,388.66
2016-01-05 06:00:00,388.42
2016-01-05 06:30:00,382.62
2016-01-05 07:00:00,424.19
2016-01-05 07:30:00,498.045
2016-01-05 08:00:00,625.0
2016-01-05 08:30:00,674.23
2016-01-05 09:00:00,673.5
2016-01-05 09:30:00,648.845
2016-01-05 10:00:00,628.06
2016-01-05 10:30:00,624.54
2016-01-05 11:00:00,602.45
2016-01-05 11:30:00,607.2650000000001
2016-01-05 12:00:00,631.5699999999999
2016-01-05 12:30:00,659.235
2016-01-05 13:00:00,606.5699999999999
2016-01-05 13:30:00,566.45
2016-01-05 14:00:00,538.3
2016-01-05 14:30:00,551.795
2016-01-05 15:00:00,560.435
